"","poradi","ID","datum","cas_sec","misto_vyzkumu","obor","zakl_vyzkum","reproduk","rep_Ne","rep_Mainstream","rep_Casopisy","rep_Diskuse","rep_Vlastni","krize_rep","krize_fyz","krize_bio","krize_med","krize_soc","krize_nevim","rep_podil","nerep_problem","nerep_chyba","nerep_valid","nerep_neobj","nerep_veda","nerep_narust","reg_Evropa","reg_Sev.Amerika","reg_Asie","reg_vsude.stejne","reg_nevim","nerep_zeme","despekt","desp_zeme","desp_jazyk","desp_kvalita","desp_nevim","desp_vlastni","reakce_nectu","reakce_vyberu","reakce_obezret","reakce_nic","reakce_stejne","reakce_nevim","reakce_vlastni","fakt_podvod","fakt_karier","fakt_dohled","fakt_recenz","fakt_selekc","fakt_replik","fakt_statis","fakt_odborn","fakt_data","fakt_dokume","fakt_metody","fakt_variab","fakt_design","fakt_smula","fakt_dalsi","nerep_jaMuj","nerep_jaCizi","nerep_oniMuj","rep_komentar","objekt_vnejsi.pohled","objekt_presnost","objekt_matematicka.konzistence","objekt_testovatelnost","objekt_nestrannost","objekt_priblizeni.pravde","objekt_shoda.s.realitou","objekt_kvantifikace","objekt_intersubjektivita","objekt_kriticke.mysleni","objekt_reprodukovatelnost","objekt_diskut","frek_nerepre","frek_hacking","frek_positiv","frek_popular","frek_modmet","frek_oversell","frek_zbytecne","frek_salam","neobj_nerepre","neobj_hacking","neobj_positiv","neobj_popular","neobj_modmet","neobj_oversell","neobj_zbytecne","neobj_salam","financ_vliv","financ_zajisti.objektivitu","financ_neduvera","financ_zajisti.nezavislost","financ_casvliv","financ_casvlast","pomer_administr","diskrim_muzi","diskrim_starsi","diskrim_uspesni","diskrim_autority","diskrim_zavedene","objekt_komentar","dilema_predator","dilema_neinformoval","dilema_misogyn","dilema_kvoty","dilema_cinska.medicina","dilema_embryo","dilema_komentar","gender","vek","kar_praxe","kar_titul","kar_citace","kar_nejlepsi","kar_kategorie","kar_komentar","pomer_veda","pomer_zakladni","obor_dotovany","obor_konkuren","obor_tlak","obor_rychly","obor_priliv","obor_publikac","obor_medializ","obor_verejnos","obor_komplexn","obor_mensi","cinnost_matem","cinnost_model","cinnost_teori","cinnost_exper","cinnost_kateg","cinnost_vyvoj","obor_ekzaktnost","obor_komentar","spec_hlavni","spec_astr","spec_astrvl","spec_bio","spec_biovl","spec_chem","spec_chemvl","spec_ekol","spec_ekolvl","spec_inze","spec_inzevl","spec_matr","spec_matrvl","spec_medi","spec_medivl","spec_fyzi","spec_fyzivl","spec_matm","spec_metmvl","spec_vlastni","instituce"
"900",15,5939947,2020-01-20,766,"Na univerzitách v ČR","Matematika, fyzika a informatika","Ano",NA,NA,NA,"Ano, ve vědeckých časopisech",NA,NA,"Nevím",NA,"Biologických","Lékařských",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Matematická konzistence",NA,"Nestrannost",NA,NA,NA,NA,NA,"Reprodukovatelnost","Někdy","10%","Nevím","80%","10%","50%","50%","50%","50%","Ano","Nevím","Ano","Ano","Nevím","Ano","Nevím","Ano","Někdy","Nehraje roli","Nevím","Nehraje roli","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"30%",0,0,-1,0,-1,NA,"ne","ne","ano","ano","ne","ne",NA,"Muž","35–44","5–9 let","CSc./Ph.D.","Do 500","Ne","(2A) Odborný asistent, (2A) Lektor II, (2B) Výzkumný pracovník II",NA,"60%","30%","Spíše ne","Spíše ano","Rozhodně ano","Rozhodně ne","Rozhodně ne","Rozhodně ne","Spíše ne","Rozhodně ne","Spíše ano","Spíše ano","1. místo","2. místo","2. místo","3. místo","Tuto činnost nedělám","3. místo","„Tvrdší“ (exaktnější)",NA,"Mathematics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Applied Mathematics",NA,NA,"MU"
"901",16,5939948,2020-01-20,1604,"Na univerzitách v ČR","Biologické a lékařské vědy","Ano",NA,NA,NA,"Ano, ve vědeckých časopisech","Ano, v diskuzích na konferencích",NA,"Ano, významná krize","Fyzikálních/chemických","Biologických","Lékařských","Sociálních",NA,"Nevím","Spíše souhlasím","Rozhodně souhlasím","Rozhodně nesouhlasím","Rozhodně souhlasím","Spíše nesouhlasím","Nevím",NA,NA,"Asie",NA,NA,"Čína","Zřídka",NA,NA,NA,"Nedokážu posoudit",NA,NA,"Vybírám si jen taková pracoviště, o nichž jsem přesvědčen, že dělají kvalitní vědu","Čtu dál studie z tohoto regionu, ale jsem obezřetný ohledně jejich závěrů",NA,NA,NA,NA,"Někdy","Velmi často","Někdy","Velmi často","Velmi často","Velmi často","Velmi často","Zřídka","Někdy","Zřídka","Zřídka","Zřídka","Někdy","Zřídka",NA,"Ano","Ano","Ano",NA,NA,NA,NA,"Testovatelnost",NA,"Přiblížení k pravdě",NA,NA,NA,"Kritické myšlení",NA,"Někdy","30%","10%","90%","10%","10%","10%","20%","20%","Ano","Ano","Ne","Ne","Ano","Ano","Ano","Ano","Velmi často","Nevím","Ne, obojí je stejně důvěryhodné","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"30%",-1,-1,-1,-1,-1,NA,"ne","ano","ano","ne","ano","ne",NA,"Muž","35–44","10–19 let","CSc./Ph.D.","Do 1000","Ne","(1A) Asistent, (1B) Lektor, (1C) Výzkumný pracovník I",NA,"40%","90%","Spíše ano","Spíše ano","Spíše ano","Nevím","Spíše ne","Nevím","Spíše ano","Spíše ano","Spíše ano","Spíše ne",NA,"3. místo",NA,"1. místo",NA,"2. místo","Nedokážu posoudit",NA,"Chemistry",NA,NA,NA,NA,"Environmental Chemistry",NA,"Environmental Sciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MU"
"902",17,5939949,2020-01-20,1001,"Na univerzitách v ČR","Biologické a lékařské vědy","Ne",NA,"Ne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nevím","Nevím","Spíše souhlasím","Rozhodně nesouhlasím","Spíše souhlasím","Spíše nesouhlasím","Nevím",NA,NA,NA,NA,"Nedokážu posoudit",NA,"Nevím",NA,NA,NA,NA,NA,NA,"Vybírám si jen taková pracoviště, o nichž jsem přesvědčen, že dělají kvalitní vědu",NA,"Nijak, protože i studie z tohoto regionu mohou obsahovat cenné výsledky",NA,NA,NA,"Někdy","Velmi často","Velmi často","Velmi často","Velmi často","Nevím","Vždy","Zřídka","Vždy","Vždy","Zřídka","Někdy","Vždy","Zřídka",NA,NA,"Ano",NA,NA,NA,NA,"Matematická konzistence","Testovatelnost","Nestrannost",NA,NA,NA,NA,NA,NA,"Nikdy","Nikdy 0%","70%","Vždy 100%","70%","70%","70%","Nevím","70%","Ano","Ano","Ne","Ne","Ano","Ano","Ano","Ne","Velmi často","Státní nebo nadnárodní (státní nebo evropské instituce, grantové agentury apod.)","Ne, obojí je stejně důvěryhodné","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"40%",0,-1,-1,-1,-1,NA,"ne","ne","ano","ne","ano","ne",NA,"Žena","25–34","10–19 let","CSc./Ph.D.","Do 100","Ne","(2A) Odborný asistent, (2A) Lektor II, (2B) Výzkumný pracovník II",NA,"70%","30%","Nevím","Nevím","Spíše ano","Spíše ne","Spíše ne","Spíše ne","Spíše ano","Nevím","Rozhodně ano","Spíše ne","2. místo","3. místo","3. místo","3. místo","2. místo","1. místo","„Tvrdší“ (exaktnější)",NA,"Biology",NA,NA,"Bioinformatics and Computational Biology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MU"
"903",18,5939952,2020-01-20,913,"Na univerzitách v ČR","Matematika, fyzika a informatika","Ano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestrannost",NA,"Shoda s realitou",NA,NA,"Kritické myšlení",NA,"Někdy","Nevím","Nikdy 0%","Nikdy 0%","20%","20%","10%","Nikdy 0%","40%","Nevím","Nevím","Nevím","Ne","Ano","Nevím","Ano","Ano","Velmi často","Nehraje roli","Nevím","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"20%",0,0,-1,-1,-1,NA,"ano","ne","ne","ano","ano","ano",NA,"Muž","45–54","10–19 let","CSc./Ph.D.","Do 500","Ne","(2A) Odborný asistent, (2A) Lektor II, (2B) Výzkumný pracovník II",NA,"60%","50%","Spíše ano","Spíše ne","Nevím","Rozhodně ne","Spíše ne","Spíše ano","Spíše ne","Spíše ne","Spíše ano","Spíše ano","1. místo","2. místo","3. místo","Tuto činnost nedělám","Tuto činnost nedělám","Tuto činnost nedělám","„Tvrdší“ (exaktnější)",NA,"Mathematics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrete mathematics/algebra",NA,NA,"MU"
"904",19,5939954,2020-01-20,2286,"Na univerzitách v ČR","Chemické vědy","Ano",NA,NA,NA,"Ano, ve vědeckých časopisech","Ano, v diskuzích na konferencích",NA,"Ano, významná krize",NA,NA,NA,NA,NA,"70 %","Spíše souhlasím","Spíše souhlasím","Rozhodně nesouhlasím","Rozhodně souhlasím","Rozhodně nesouhlasím","Rozhodně souhlasím",NA,NA,"Asie",NA,NA,"China","Nikdy",NA,NA,NA,NA,NA,NA,"Vybírám si jen taková pracoviště, o nichž jsem přesvědčen, že dělají kvalitní vědu",NA,NA,NA,NA,NA,"Zřídka","Vždy","Velmi často","Velmi často","Velmi často","Velmi často","Někdy","Zřídka","Zřídka","Zřídka","Nikdy","Nikdy","Někdy","Nikdy",NA,"Ne","Ano","Nepamatuji se",NA,NA,NA,NA,NA,"Nestrannost","Přiblížení k pravdě","Shoda s realitou",NA,NA,NA,NA,"Někdy","30%","Nevím","Vždy 100%","10%","20%","30%","30%","10%","Ano","Nevím","Ano","Ne","Ne","Ano","Ano","Ne","Vždy","Nevím","Nevím","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"60%",-1,0,-1,-1,-1,NA,"ne","ano","ano","ne","ano","ne",NA,"Muž","45–54","20 a více let","Profesor","Do 5000","Ano","(4A) Profesor, (4B) Mimořádný professor, (4C) Výzkumný pracovník IV",NA,"100%","80%","Spíše ano","Spíše ano","Spíše ano","Rozhodně ano","Spíše ano","Spíše ano","Spíše ano","Spíše ne","Rozhodně ano","Rozhodně ne","3. místo","Tuto činnost nedělám","2. místo","2. místo","Tuto činnost nedělám","1. místo","„Tvrdší“ (exaktnější)",NA,"Chemistry",NA,NA,NA,NA,"Chemical Biology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MU"
"905",20,5939955,2020-01-20,1354,"Na univerzitách v ČR","Biologicko-ekologické vědy","Ano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Přesnost",NA,"Testovatelnost","Nestrannost",NA,NA,NA,NA,NA,NA,"Někdy","50%","80%","Vždy 100%","Nevím","10%","30%","30%","Nikdy 0%","Ano","Nevím","Ne","Ne","Ne","Ano","Ano","Ano","Někdy","Státní nebo nadnárodní (státní nebo evropské instituce, grantové agentury apod.)","Ne, obojí je stejně důvěryhodné","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"50%",0,0,-1,-1,0,NA,"ne","ne","ne","ne","ano","ne","Otázka 34. - záleží na mnoha souvislostech. Takto vytrženo z kontextu nejde moc posoudit. Ale spíše než vyhození po americku bych volil domluvu po česku, ""co blbneš, ty v___"".","Muž","35–44","10–19 let","Profesor","Do 5000","Ne","(4A) Profesor, (4B) Mimořádný professor, (4C) Výzkumný pracovník IV",NA,"30%","100%","Spíše ne","Spíše ne","Nevím","Rozhodně ne","Spíše ne","Spíše ne","Spíše ne","Rozhodně ne","Spíše ano","Spíše ne","Tuto činnost nedělám","Tuto činnost nedělám","1. místo","Tuto činnost nedělám","2. místo","Tuto činnost nedělám","Nedokážu posoudit",NA,"Biology",NA,NA,"Ecology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MU"
"906",21,5939967,2020-01-20,1154,"Na univerzitách v ČR","Chemické vědy","Ano",NA,NA,NA,NA,NA,"internet","Ano, nevýznamná krize","Fyzikálních/chemických","Biologických","Lékařských",NA,NA,"80 %","Spíše souhlasím","Spíše souhlasím","Spíše nesouhlasím","Spíše souhlasím","Spíše nesouhlasím","Spíše souhlasím",NA,NA,"Asie",NA,NA,"Čína","Nikdy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vždy","Velmi často","Někdy","Nikdy","Velmi často","Velmi často","Nevím","Velmi často","Nevím","Velmi často","Nevím","Velmi často","Někdy","Někdy",NA,"Ano","Ano","Ne",NA,NA,NA,"Matematická konzistence",NA,NA,NA,"Shoda s realitou",NA,NA,NA,"Reprodukovatelnost","Nikdy","30%","Nevím","Vždy 100%","70%","80%","50%","50%","80%","Ano","Ano","Ano","Ne","Nevím","Ne","Ne","Ne","Velmi často","Nehraje roli","Nevím","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"30%",0,-1,-1,-1,-1,NA,"ne","ne","ne","ne","ano","ano",NA,"Muž","45–54","20 a více let","Docent","Do 5000","Ne","(3A) Docent, (3B) Výzkumný pracovník III",NA,"70%","80%","Spíše ne","Spíše ano","Spíše ano","Rozhodně ano","Spíše ne","Spíše ne","Spíše ano","Spíše ne","Spíše ne","Spíše ne","3. místo","Tuto činnost nedělám","3. místo","1. místo","3. místo","1. místo","„Tvrdší“ (exaktnější)",NA,"Chemistry",NA,NA,NA,NA,"Electrochemistry","Electrochemistry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MU"
"907",22,5939968,2020-01-20,976,"Na univerzitách v ČR","Vědy o Zemi","Ano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestrannost",NA,"Shoda s realitou",NA,NA,"Kritické myšlení",NA,"Někdy","10%","Nevím","Nevím","20%","Nevím","10%","10%","20%","Ano","Nevím","Ano","Ne","Nevím","Ano","Ne","Nevím","Někdy","Nehraje roli","Ne, obojí je stejně důvěryhodné","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"60%",0,0,-1,-1,-1,NA,"ne","ne","ne","ne","ano","ne",NA,"Muž","35–44","10–19 let","Docent","Do 1000","Ne","(3A) Docent, (3B) Výzkumný pracovník III",NA,"30%","80%","Rozhodně ne","Spíše ano","Spíše ano","Spíše ne","Spíše ne","Spíše ano","Spíše ne","Spíše ano","Spíše ano","Spíše ano","Tuto činnost nedělám","2. místo","1. místo","3. místo","3. místo","2. místo","„Tvrdší“ (exaktnější)",NA,"Earth and Environmental Science",NA,NA,NA,NA,NA,NA,"Solid Earth Sciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MU"
"908",23,5939969,2020-01-20,1844,"Na univerzitách v ČR","Aplikovaná fyzika","Ano",NA,"Ne",NA,NA,NA,NA,"Nevím",NA,NA,NA,"Sociálních",NA,"90 %","Spíše nesouhlasím","Spíše nesouhlasím","Spíše nesouhlasím","Rozhodně souhlasím","Ani souhlasím/ani nesouhlasím","Spíše souhlasím",NA,NA,"Asie",NA,NA,"Čína, Indie","Zřídka",NA,NA,NA,NA,NA,NA,NA,"Čtu dál studie z tohoto regionu, ale jsem obezřetný ohledně jejich závěrů",NA,NA,NA,NA,"Velmi často","Někdy","Někdy","Nevím","Velmi často","Velmi často","Velmi často","Velmi často","Někdy","Nevím","Velmi často","Velmi často","Velmi často","Zřídka",NA,"Ano","Ano","Ne",NA,"Pohled z vnějšku",NA,NA,"Testovatelnost","Nestrannost",NA,NA,NA,NA,NA,NA,"Zřídka","60%","Nevím","70%","70%","70%","60%","80%","20%","Ne","Ano","Ano","Ne","Ano","Ne","Ano","Ne","Velmi často","Nevím","Ne, obojí je stejně důvěryhodné","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"40%",0,-1,-1,-1,0,NA,"ne","ne","ne","ne","ne","ne",NA,"Muž","45–54","20 a více let","Docent","Do 1000","Ano","(3A) Docent, (3B) Výzkumný pracovník III",NA,"70%","50%","Spíše ne","Spíše ne","Spíše ne","Spíše ne","Spíše ne","Spíše ne","Spíše ne","Spíše ne","Spíše ano","Spíše ano",NA,NA,NA,"2. místo",NA,"1. místo","Nedokážu posoudit",NA,"Physics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plasma and Fluids",NA,NA,NA,NA,"MU"
"909",24,5939971,2020-01-20,900,"Na univerzitách v ČR","Biologicko-ekologické vědy","Ano",NA,NA,NA,"Ano, ve vědeckých časopisech",NA,NA,"Ano, významná krize",NA,"Biologických","Lékařských",NA,NA,"Nevím","Spíše nesouhlasím","Ani souhlasím/ani nesouhlasím","Rozhodně nesouhlasím","Spíše souhlasím","Ani souhlasím/ani nesouhlasím","Nevím",NA,NA,NA,NA,"Nedokážu posoudit",NA,"Někdy",NA,NA,"Týkalo se to kvality vědecké práce",NA,NA,NA,"Vybírám si jen taková pracoviště, o nichž jsem přesvědčen, že dělají kvalitní vědu",NA,NA,NA,NA,NA,"Velmi často","Někdy","Velmi často","Někdy","Velmi často","Někdy","Někdy","Velmi často","Někdy","Někdy","Někdy","Nevím","Vždy","Někdy",NA,"Nepamatuji se","Ano","Nepamatuji se",NA,NA,NA,NA,NA,"Nestrannost",NA,NA,NA,NA,"Kritické myšlení",NA,"Někdy","50%","50%","60%","40%","40%","40%","20%","50%","Ne","Nevím","Ne","Ne","Ne","Ano","Ne","Ne","Nevím","Státní nebo nadnárodní (státní nebo evropské instituce, grantové agentury apod.)","Financovaných z veřejných zdrojů","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"70%",0,0,0,0,0,NA,"ne","ano","ne","ano","ano","ano",NA,"Muž","45–54","20 a více let","Profesor","Do 5000","Ne","(4A) Profesor, (4B) Mimořádný professor, (4C) Výzkumný pracovník IV",NA,"60%","70%","Spíše ne","Spíše ano","Spíše ne","Spíše ne","Spíše ne","Spíše ne","Spíše ne","Rozhodně ne","Spíše ne","Rozhodně ano","3. místo","3. místo","3. místo","Tuto činnost nedělám","1. místo","Tuto činnost nedělám","„Tvrdší“ (exaktnější)",NA,"Biology",NA,NA,"Zoology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MU"
"910",25,5939973,2020-01-20,1478,"Na univerzitách v ČR","Vědy o Zemi","Ano",NA,"Ne",NA,NA,NA,NA,"Nevím",NA,NA,NA,NA,"Nevím","Nevím","Spíše nesouhlasím","Ani souhlasím/ani nesouhlasím","Rozhodně souhlasím","Spíše souhlasím","Ani souhlasím/ani nesouhlasím","Spíše nesouhlasím",NA,NA,"Asie",NA,"Nedokážu posoudit",NA,"Někdy","Západní Evropa","Byla to jazyková záležitost, protože nejsem rodilý mluvčí","Týkalo se to kvality vědecké práce",NA,"Nedostatečné finanční zajištění",NA,"Vybírám si jen taková pracoviště, o nichž jsem přesvědčen, že dělají kvalitní vědu","Čtu dál studie z tohoto regionu, ale jsem obezřetný ohledně jejich závěrů",NA,NA,NA,NA,"Zřídka","Velmi často","Nevím","Někdy","Velmi často","Nevím","Někdy","Někdy","Velmi často","Velmi často","Někdy","Nevím","Nevím","Někdy",NA,"Ne","Ano","Nepamatuji se",NA,NA,NA,NA,NA,NA,"Přiblížení k pravdě","Shoda s realitou",NA,NA,NA,NA,"Někdy","60%","Nevím","80%","90%","90%","Vždy 100%","90%","90%","Ano","Nevím","Ano","Ano","Ano","Ano","Nevím","Nevím","Vždy","Soukromé (korporátní)","Nevím","Nevím","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"70%",0,0,-1,-1,-1,NA,"ano","ne","ne","ne","ano","ne",NA,"Muž","55–64","20 a více let","Docent","Do 500","Ano","(3A) Docent, (3B) Výzkumný pracovník III",NA,"10%","100%","Rozhodně ne","Spíše ano","Spíše ano","Rozhodně ne","Spíše ne","Spíše ne","Rozhodně ne","Spíše ano","Spíše ano","Spíše ne","1. místo","2. místo","2. místo","3. místo","3. místo","1. místo","„Měkčí“ (méně exaktní)",NA,"Earth and Environmental Science",NA,NA,NA,NA,NA,NA,"Solid Earth Sciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MU"
"911",26,5939975,2020-01-20,1964,"Na univerzitách v ČR","Biologicko-ekologické vědy","Ano",NA,"Ne",NA,NA,NA,NA,"Nevím",NA,NA,NA,NA,NA,"Nevím","Rozhodně nesouhlasím","Ani souhlasím/ani nesouhlasím","Nevím","Spíše souhlasím","Spíše souhlasím","Nevím",NA,NA,NA,NA,"Nedokážu posoudit",NA,"Zřídka",NA,NA,NA,"Nedokážu posoudit",NA,NA,NA,"Čtu dál studie z tohoto regionu, ale jsem obezřetný ohledně jejich závěrů",NA,NA,NA,NA,"Nevím","Velmi často","Nevím","Zřídka","Velmi často","Velmi často","Někdy","Někdy","Vždy","Velmi často","Zřídka","Nevím","Někdy","Nevím",NA,"Ne","Ne","Ne",NA,NA,NA,NA,NA,"Nestrannost",NA,NA,NA,NA,"Kritické myšlení","Reprodukovatelnost","Nikdy","80%","Nevím","80%","70%","90%","90%","70%","80%","Ano","Ano","Ano","Ne","Ne","Ano","Ne","Ne","Velmi často","Nehraje roli","Nevím","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"20%",-1,-1,-1,-1,-1,NA,"ne","ne","ano","ne","ano","ne",NA,"Muž","35–44","10–19 let","CSc./Ph.D.","Do 500","Ne","(2A) Odborný asistent, (2A) Lektor II, (2B) Výzkumný pracovník II",NA,"40%","90%","Rozhodně ne","Spíše ne","Rozhodně ano","Rozhodně ne","Rozhodně ne","Spíše ne","Spíše ano","Spíše ne","Spíše ne","Spíše ano","Tuto činnost nedělám","1. místo","Tuto činnost nedělám","2. místo","3. místo","Tuto činnost nedělám","„Měkčí“ (méně exaktní)",NA,"Earth and Environmental Science",NA,NA,NA,NA,NA,NA,"Ecology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MU"
"912",27,5939977,2020-01-20,1541,"Na univerzitách v ČR","Vědy o Zemi","Ano",NA,NA,"Ano, v mainstreamových médiích",NA,NA,NA,"Ano, významná krize","Fyzikálních/chemických","Biologických","Lékařských","Sociálních",NA,"10 %","Rozhodně souhlasím","Spíše souhlasím","Rozhodně nesouhlasím","Spíše nesouhlasím","Spíše souhlasím","Rozhodně souhlasím",NA,NA,NA,NA,"Nedokážu posoudit","Slovensko","Někdy","Spojené království",NA,NA,NA,"předsudky vůči východním etnikům",NA,NA,NA,NA,"V mém oboru jsou studie ze všech regionů stejně kvalitní",NA,NA,"Zřídka","Vždy","Zřídka","Někdy","Vždy","Velmi často","Nikdy","Velmi často","Někdy","Někdy","Někdy","Zřídka","Velmi často","Někdy",NA,"Nedělám experimenty","Nedělám experimenty","Nedělám experimenty",NA,NA,NA,NA,NA,NA,"Přiblížení k pravdě","Shoda s realitou",NA,NA,"Kritické myšlení",NA,"Zřídka","90%","Vždy 100%","90%","Vždy 100%","90%","Vždy 100%","80%","90%","Ano","Ano","Ano","Ano","Ano","Ano","Ano","Ano","Vždy","Soukromé (korporátní)","Ne, obojí je stejně důvěryhodné","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"20%",-1,-1,-1,-1,-1,"Grantový způsob finacování podporuje především různé vykuky a staré struktury, které by v normálních podmínkách neměli šanci uspět. Je to děsně neefektivní způsob, granty se píší již na téměř hotové výsledky, aby bylo možné získat data na další grant, v lepším případě. Omezuje to kreativitu a inovace, naopak to podporuje opakování v minulosti úspěšných vzorců a jistou rigiditu výzkumu.","ne","ne","ano","ne","ne","ne","čínská medicína je něco jako současná aféra na Homeless Credit Univerzity, dříve nazývané Karlova Univerzita? Je to o nekalých korupčních praktikách na fakultě (ne)humanitních pseudostudií, nebo pytlačení velkých afrických savců, aby byl neúčinný prášek na mužskou potenci?","Muž","35–44","10–19 let","CSc./Ph.D.","Do 500","Ne","(2A) Odborný asistent, (2A) Lektor II, (2B) Výzkumný pracovník II","Když se můj školitel postgraduálního studia zbláznil, vyhodil mě a pak mě začal i vydírat, včetně posílání výhružných sms zpráv a e-mailů kolegům jaká jsme svině.","60%","Nevím","Rozhodně ne","Spíše ne","Spíše ne","Rozhodně ne","Spíše ne","Rozhodně ne","Spíše ano","Rozhodně ne","Rozhodně ano","Spíše ano","3. místo","3. místo","2. místo","Tuto činnost nedělám","1. místo","Tuto činnost nedělám","„Měkčí“ (méně exaktní)","- poznání minulosti k pochopení současnoti
- environmental history","Earth and Environmental Science",NA,NA,NA,NA,NA,NA,"paleoecology","paleoecology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MU"
